team,ncaa_id,team_state,conference,division
Southern N.H.,468,NH,NE10,II
New Haven,470,CT,NE10,II
NYU,479,NY,UAA,III
CCNY,480,NY,CUNYAC,III
Nichols,484,MA,CCC,III
MCLA,486,MA,MASCAC,III
North Alabama,487,AL,ASUN,I
N.C. A&T,488,NC,CAA,I
Barry,49,FL,Sunshine State,II
NC State,490,NC,ACC,I
N.C. Wesleyan,491,NC,USA South,III
North Dakota,494,ND,Summit League,I
North Park,496,IL,CCIW,III
Truman State,499,MO,GLVC,II
Bates,50,ME,NESCAC,III
Northeastern,500,MA,CAA,I
Northern Michigan,506,MI,GLIAC,II
Northwest Missouri State,507,MO,Mid-America Intercollegiate,II
Northwood,510,MI,G-MAC,II
Norwich,511,VT,Great Northeast,III
Oakland,514,MI,Horizon,I
Oberlin,515,OH,NCAC,III
Occidental,516,CA,SCIAC,III
Ohio Northern,517,OH,OAC,III
Ohio,519,OH,MAC,I
