team,twitter,url,ncaa_id,stats_name,private,roster
Central Wash.,cwu_wbb,https://wildcatsports.com/sports/womens-volleyball,1010,Central Wash.,,
Chadron St.,ChadronEagles,https://chadroneagles.com/sports/womens-volleyball,1012,Chadron St.,,
Charleston (WV),ucwv_wbb,https://ucgoldeneagles.com/sports/womens-volleyball,1013,Charleston (WV),,
Christian Brothers,cbubucswbb,https://cbubucs.com/sports/womens-volleyball,1015,Christian Brothers,,
Coker,Coker_WBB,https://www.cokercobras.com/sports/wvball/index,1023,Coker,,
Concord,CU_WBB,https://cumountainlions.com/sports/womens-volleyball,1028,Concord,,
Concordia Wisconsin,CUWWBB,https://www.cuwfalcons.com/sports/wvball/index,1036,Concordia Wisconsin,,
USC Upstate,upstateWBB,https://upstatespartans.com/sports/womens-volleyball,10411,USC Upstate,,
Defiance,DCWB_,https://www.defianceathletics.com/sports/wvball/index,1050,Defiance,,
Drury,DULadyPanthers,https://drurypanthers.com/sports/womens-volleyball,1057,Drury,,
D'Youville,dy_wbb,https://athletics.dyc.edu/sports/wvball/index,1059,D'Youville,,
Cal U (PA),CALU_wbb,https://calvulcans.com/sports/womens-volleyball,106,Cal U (PA),,
East Tex. Baptist,ETBU_WBSK,https://goetbutigers.com/sports/womens-volleyball,1062,East Tex. Baptist,,
Eastern Nazarene,ENCWBB,https://athletics.enc.edu/sports/wvball/index,1064,Eastern Nazarene,,
Edgewood,EdgewoodWbb,https://edgewoodcollegeeagles.com/sports/womens-volleyball,1066,Edgewood,,
Elon,ElonWBasketball,https://elonphoenix.com/sports/womens-volleyball,1068,Elon,,
Emporia St.,LadyHornetWBB,https://esuhornets.com/sports/womens-volleyball,1071,Emporia St.,,
